X,Y,Z,X_size,Y_size,Z_size,Density,Rock_code,Ore_per,Au_grade,Block_ton,Au_mass
2516560,5822540,6720,40,40,40,0.0556,92,100,0.0006,296.77056,0
2516600,5822420,6640,40,40,40,0.0769,51,100,0.0013,4548.54272,0
2516600,5822420,6680,40,40,40,0.0769,51,100,0.0012,266.75072,0
2516600,5822460,6680,40,40,40,0.0769,51,100,0.0013,337.1296,0
2516600,5822500,6680,40,40,40,0.0769,51,100,0.0016,249.03296,0
2516600,5822540,6680,40,40,40,0.0769,51,100,0.001,58.56704,0
2516640,5822420,6640,40,40,40,0.0769,51,100,0.0013,465.0912,0
2516640,5822460,6640,40,40,40,0.0745,50,100,0.0013,1658.7872,0
2516640,5822460,6680,40,40,40,0.0769,51,100,0.0013,1.96864,0
2516640,5822500,6640,40,40,40,0.0745,50,100,0.0006,4088.56,0
2516640,5822500,6680,40,40,40,0.0556,91,100,0.0011,0.35584,0
2516640,5822540,6640,40,40,40,0.0745,50,100,0.0006,4768,0
2516520,5822580,6720,40,40,40,0.0556,92,100,0.0006,1178.89792,0
2516520,5822620,6720,40,40,40,0.0556,92,100,0.0001,1189.57312,0
2516560,5822580,6720,40,40,40,0.0556,92,100,0.0005,198.91456,0
2516560,5822620,6720,40,40,40,0.0556,92,100,0.0001,15.30112,0
2516600,5822580,6680,40,40,40,0.0769,51,100,0.0009,5.90592,0
2516640,5822580,6640,40,40,40,0.0745,50,100,0.0006,4768,0
2516520,5823020,6640,40,40,40,0.0769,44,100,0.0076,4921.6,26.182912
2516520,5823140,6680,40,40,40,0.0769,51,100,0.0112,15.25696,0.119615
2516520,5823180,6680,40,40,40,0.0769,51,100,0.0068,89.08096,0.424025
2516600,5823140,6640,40,40,40,0.0769,44,100,0.0083,504.464,2.930936
2516600,5823180,6640,40,40,40,0.0769,44,100,0.0082,3134.07488,17.98959
2516640,5823060,6640,40,40,40,0.0769,44,100,0.007,303.66272,1.487947
2516640,5823140,6640,40,40,40,0.0769,44,100,0.0065,49.70816,0.226172
2516640,5823180,6640,40,40,40,0.0769,44,100,0.0083,1421.85024,8.26095
2516520,5823220,6680,40,40,40,0.0769,51,100,0.0135,0.98432,0.009302
2516520,5823260,6680,40,40,40,0.0769,51,100,0.0116,75.79264,0.615436
2516520,5823300,6680,40,40,40,0.0769,51,100,0.0086,536.94656,3.232418
2516520,5823340,6720,40,40,40,0.0769,51,100,0.0058,82.19072,0.333694
2516560,5823300,6680,40,40,40,0.0769,51,100,0.0041,0.98432,0.002825
2516560,5823340,6680,40,40,40,0.0769,44,100,0.0063,177.66976,0.783524
2516600,5823260,6640,40,40,40,0.0769,44,100,0.0064,4690.77696,21.014681
2516640,5823220,6640,40,40,40,0.0769,44,100,0.0045,4381.20832,13.800806
2516640,5823260,6640,40,40,40,0.0769,44,100,0.0064,4600.71168,20.611188
2516640,5823340,6680,40,40,40,0.0769,51,100,0.0046,58.07488,0.187001
2516520,5823380,6720,40,40,40,0.0769,51,100,0.0046,2570.55168,8.277176
2516560,5823380,6720,40,40,40,0.0769,51,100,0.0051,130.91456,0.467365
2516560,5823420,6720,40,40,40,0.0769,51,100,0.0039,1875.62176,5.120447
2516560,5823500,6720,40,40,40,0.076,0,100,0,3600.8192,0
2516600,5823420,6720,40,40,40,0.076,0,100,0,105.5488,0
2516600,5823460,6720,40,40,40,0.076,0,100,0,1161.0368,0
2516600,5823500,6720,40,40,40,0.076,0,100,0,2847.872,0
2516640,5823380,6680,40,40,40,0.0769,44,100,0.0041,5.90592,0.01695
2516640,5823420,6680,40,40,40,0.0769,44,100,0.0039,113.1968,0.309027
2516640,5823460,6720,40,40,40,0.076,0,100,0,16.0512,0
2516640,5823500,6680,40,40,40,0.0769,44,100,0.004,4592.34496,12.858566
2516640,5823500,6720,40,40,40,0.076,0,100,0,542.8224,0
